sku,product_name,brand
EH0057,TÊNIS MASCULINO X9000 BOST L3 - PRETO,adidas
FV6031,TÊNIS MASCULINO SUPERNOVA BOOST - CINZA,adidas
FY7693,Tênis Masculino Supernova Boost - Preto,adidas
EG5401,Tênis Masculino Supernova Boost - Preto,adidas
EH1433,TÊNIS MASCULINO SHOES LOW NON FOOTBALL - CINZA,adidas
FX4831,TÊNIS RESPONSE SUPER BOOST - CINZA,adidas
FY8759,TÊNIS MASCULINO RESPONSE SUPER BOOST - AZUL,adidas
EG8398,TÊNIS MASCULINO VALASION - BRANCO,adidas
EG0957,TÊNIS MASCULINO SENSEBOOST - CINZA,adidas
EH1535,TÊNIS ASTRARUN - AZUL,adidas
EG3281,TÊNIS MASCULINO LITE RACER 2.0 - AZUL,adidas
EG8397,TÊNIS MASCULINO 90S VALASION - AZUL,adidas
CM1458,TÊNIS MASCULINO UPATH RUN - BRANCO,adidas
EG4959,TÊNIS MASCULINO SUPERSTAR - PRETO,adidas
EG9074,Tênis Masculino Shoes Low Non Football - Verde,adidas
EG4957,TÊNIS UNISSEX SUPERSTAR - PRETO,adidas
FY4530,TÊNIS ADIDAS FORUM BOLD WN`S,adidas
GX5073,TÊNIS ADIDAS FORUM LOW WN´S,adidas
FW2547,TÊNIS SUPERSTAR BOLD,adidas
FX6094,TÊNIS ADIDAS OZWEEGO WN`S,adidas
FV4137,TÊNIS ADIDAS NITE JOGGER FEM,adidas
H01737,TÊNIS ADIDAS NITE JOGGER ,adidas
FV9499,TÊNIS ADIDAS ZX 2K FLORINE WN`S,adidas
FV3463,TÊNIS ADIDAS SUPERSTAR BOLD WN&#039;S,adidas
EF5419,TÊNIS ADIDAS NITE JOGGER FEM,adidas
GW8682,TÊNIS ADIDAS ULTRA BOOST OG x BEYONCE IVY PARK,adidas
GZ8818,TÊNIS ADIDAS FORUM DIPPED LOW x JEREMY SCOTT,adidas
Q46124,TÊNIS ADIDAS FORUM DIPPED MID x JEREMY SCOTT,adidas
GX8435,TÊNIS ADIDAS OZRAH x RUBY9100M,adidas
G54995,TÊNIS ADIDAS FORUM DIPPED MID x JEREMY SCOTT,adidas
EH1741,SANDÁLIA ADIDAS Y-3 COMFYLETTE HIGH,adidas
Q46582,ADILETE ADIDAS x JEREMY SCOTT TEDDY,adidas
FX8056,SLIDE ADIDAS BOOST x PHARRELL WILLIAMS ,adidas
FV7261,SLIDE ADIDAS BOOST x PHARRELL WILLIAMS ,adidas
FV7289,SLIDE ADIDAS BOOST x PHARRELL WILLIAMS ,adidas
FY6140,SLIDE ADIDAS BOOST x PHARRELL WILLIAMS ,adidas
FY6142,SLIDE ADIDAS BOOST x PHARRELL WILLIAMS ,adidas
H04407,SLIDE ADIDAS BOOST x PHARRELL WILLIAMS ,adidas
FY0130,TÊNIS ADIDAS SUPERSTAR  STAR-WARS DARTH VADER INFANTIL,adidas
FX9306,TÊNIS ADIDAS STAN SMITH STAR-WARS LUKE SKYWALKER INFANTIL,adidas
H04259,TÊNIS ADIDAS OZWEEGO WN´S,adidas
EE6041,TÊNIS ADIDAS SC PREMIERE W,adidas
H04266,TÊNIS ADIDAS OZELIA WN`S,adidas
FZ4338,TÊNIS ADIDAS Y-3 HICHO,adidas
GV7680,TÊNIS ADIDAS Y-3 GR.1P GTX,adidas
Q47109,TÊNIS ADIDAS Y-3 HOKORI II,adidas
S42926,TÊNIS ADIDAS SUPERSTAR x PHARELL WILLIAMS,adidas
S42928,TÊNIS ADIDAS SUPERSTAR x PHARELL WILLIAMS,adidas
S42929,TÊNIS ADIDAS SUPERSTAR x PHARELL WILLIAMS,adidas
S42930,TÊNIS ADIDAS SUPERSTAR x PHARELL WILLIAMS,adidas
FY0731,TÊNIS ADIDAS CAMPUS x HUMAN MADE,adidas
FY0734,TÊNIS ADIDAS STAN SMITH x HUMAN MADE,adidas
FY1084,TÊNIS ADIDAS RIVALRY x HUMAN MADE,adidas
GW3773,TÊNIS ADIDAS YEEZY BOOST 350 V2 MX OAT,adidas
GZ8817,TÊNIS ADIDAS FORUM DIPPED LOW x JEREMY SCOTT,adidas
FX1752,TÊNIS ADIDAS Y-3 HICHO,adidas
FX1411,TÊNIS ADIDAS Y-3 ORISAN,adidas
FZ4477,TÊNIS ADIDAS Y-3 GR.1P GTX,adidas
FX0559,TÊNIS ADIDAS Y-3 HOKORI II,adidas
FX1416,TÊNIS ADIDAS Y-3 SHIKU RUN,adidas
FX0568,TÊNIS ADIDAS Y-3 YUBEN MID,adidas
FZ4339,TÊNIS ADIDAS Y-3 HICHO,adidas
FX7280,TÊNIS ADIDAS Y-3 KAIWA,adidas
FX0909,TÊNIS ADIDAS Y-3 KAIWA,adidas
FZ4326,TÊNIS ADIDAS Y-3 KAIWA,adidas
FX1413,TÊNIS ADIDAS Y-3 ORISAN,adidas
FZ4317,TÊNIS ADIDAS Y-3 ORISAN,adidas
GZ5581,TÊNIS ADIDAS GSG MULE x 032C ,adidas
FZ4480,TÊNIS ADIDAS Y-3 GR.1P HIGH GTX,adidas
FX0560,TÊNIS ADIDAS Y-3 HOKORI II,adidas
FX1747,TÊNIS ADIDAS Y-3 HICHO,adidas
FX7261,TÊNIS ADIDAS Y-3 RHISU RUN,adidas
FX0897,TÊNIS ADIDAS Y-3 YOHJI PRO,adidas
FX0898,TÊNIS ADIDAS Y-3 YOHJI PRO,adidas
H02576,TÊNIS ADIDAS Y-3 YOHJI PRO,adidas
FX0832,TÊNIS ADIDAS Y-3 YOHJI STAR,adidas
FX0895,TÊNIS ADIDAS Y-3 YOHJI STAR,adidas
H02578,TÊNIS ADIDAS Y-3 YOHJI STAR,adidas
GZ7286,TÊNIS ADIDAS ZX FURY ,adidas
Q46366,TÊNIS ADIDAS FORUM 84 LOW,adidas
GZ9178,TÊNIS ADIDAS OZWEEGO PURE,adidas
FZ4412,TÊNIS ADIDAS ZX 8000 GOLF,adidas
GV7669,TÊNIS ADIDAS CONTINENTAL 80,adidas
FY7757,TÊNIS ADIDAS FORUM LOW,adidas
GZ9112,TÊNIS ADIDAS FORUM LOW,adidas
FY5480,TÊNIS ADIDAS SUPERSTAR ,adidas
FZ0829,TÊNIS ADIDAS ZX 1000 PAM PAM,adidas
GV7665,TÊNIS ADIDAS STAN SMITH,adidas
H01716,TÊNIS ADIDAS NITE JOGGER,adidas
H01719,TÊNIS ADIDAS NITE JOGGER,adidas
H01718,TÊNIS ADIDAS NITE JOGGER,adidas
GY1207,TÊNIS ADIDAS ZX 2K BOOST,adidas
FZ4401,TÊNIS ADIDAS ZX 7000 x HEY TEA,adidas
S42593,TÊNIS ADIDAS ZX 8000 OUT THERE NEW YORK ,adidas
FX6039,TÊNIS ADIDAS OZWEEGO TR STEALTH,adidas
G55409,TÊNIS ADIDAS ZX 6000 INSIDE OUT,adidas
FX7502,TÊNIS ADIDAS SL 72 x WALES BONNER,adidas
FX7517,TÊNIS ADIDAS SAMBA x WALES BONNER,adidas
S42976,TÊNIS ADIDAS FORUM LOW x HUMAN MADE,adidas
G58880,TÊNIS ADIDAS ZX 8000 OUT THERE TOKIO,adidas
FY5168,TÊNIS ADIDAS ZX 8000 x NATIONAL PARK ,adidas
FY5172,TÊNIS ADIDAS ZX 9000 x NATIONAL PARK ,adidas
FZ0551,TÊNIS ADIDAS TOKIO SOLAR x HUMAN MADE,adidas
FY5173,TÊNIS ADIDAS ZX 10000 x NATIONAL PARK ,adidas
GX5203,TÊNIS ADIDAS SLIP-ON PURE x HUMAN MADE,adidas
FZ1712,TÊNIS ADIDAS UNOFCL x HUMAN MADE,adidas
FX7515,TÊNIS ADIDAS SL 72 x WALES BONNER,adidas
FY2458,TÊNIS ADIDAS TOP TEN HI STAR-WARS C-3PO,adidas
FY5187,TÊNIS ADIDAS NIZZA HI x HUMAN MADE,adidas
FY3501,TÊNIS ADIDAS RIVALRY PROMODEL x SANKUANZ,adidas
FY2457,TÊNIS ADIDAS NMD R1 STAR-WARS STORMTROOPER,adidas
H05789,TÊNIS ADIDAS SUPERSTAR x SIMPSONS SQUISHEE,adidas
S42973,TÊNIS ADIDAS COUNTRY FREE HIKER x HUMAN MADE,adidas
GX5204,TÊNIS ADIDAS SLIP-ON PURE x HUMAN MADE,adidas
H02546,TÊNIS ADIDAS SLIP-ON PURE x HUMAN MADE,adidas
FX9302,TÊNIS ADIDAS SUPERSTAR  STAR-WARS DARTH VADER,adidas
H05790,TÊNIS ADIDAS ZX 1000 THE SIMPSONS FLAMING MOE&#039;S,adidas
FV9970,TÊNIS ADIDAS ZX 2K FLUX ,adidas
FZ0738,TÊNIS ADIDAS NEW YORK ,adidas
FY3650,TÊNIS ADIDAS TRX VINTAGE,adidas
H03884,TÊNIS ADIDAS HOYLAKE SPZL,adidas
G54894,TÊNIS ADIDAS OZELIA ,adidas
FV9665,TÊNIS ADIDAS OZWEEGO,adidas
H03906,TÊNIS ADIDAS MALMO NET SPZL  ,adidas
FY5477,TÊNIS ADIDAS SUPERSTAR,adidas
FZ0245,TÊNIS ADIDAS SUPERSTAR,adidas
H03893,TÊNIS ADIDAS MARATHON 86 SPZL,adidas
FV9649,TÊNIS ADIDAS OZWEEGO TR,adidas
FY3651,TÊNIS ADIDAS TRX VINTAGE,adidas
FV8533,TÊNIS ADIDAS SC PREMIERE,adidas
FX6044,TÊNIS ADIDAS OWZEEGO FLIPSHIELD,adidas
GX7829,TÊNIS ADIDAS BLACKBURN EWOOD SPZL,adidas
GX7576,TÊNIS ADIDAS ZX 10.000 C SCHOKOHASE&#039;,adidas
G58133,TÊNIS ADIDAS NIZZA LO x WALES BONNER,adidas
FX6045,TÊNIS ADIDAS OWZEEGO FLIPSHIELD,adidas
